open,high,low,close,volume,datetime
57.54,59.19,57.5,58.76,13302050,2017-12-04 01:00:00-05:00
59.25,59.68,58.91,59.34,11295644,2017-12-05 01:00:00-05:00
59.38,59.83,59.23,59.28,8458198,2017-12-06 01:00:00-05:00
59.12,59.275,58.761,59.14,6033792,2017-12-07 01:00:00-05:00
58.52,58.845,58.1,58.61,9950491,2017-12-08 01:00:00-05:00
58.39,59.35,58.29,59.07,10286560,2017-12-11 01:00:00-05:00
58.99,59.36,58.87,59.27,6042917,2017-12-12 01:00:00-05:00
59.44,59.89,59.3,59.49,7726299,2017-12-13 01:00:00-05:00
59.73,60.05,59.44,59.7,8946111,2017-12-14 01:00:00-05:00
59.25,59.37,58.1574,58.29,22595018,2017-12-15 01:00:00-05:00
58.44,58.786,57.89,58.03,8751620,2017-12-18 01:00:00-05:00
58.13,58.575,57.93,58.01,7946435,2017-12-19 01:00:00-05:00
58.22,58.29,57.69,57.73,7188717,2017-12-20 01:00:00-05:00
57.94,58.145,57.49,57.58,5974474,2017-12-21 01:00:00-05:00
57.57,57.91,57.12,57.3,7148723,2017-12-22 01:00:00-05:00
57.27,57.5799,57.05,57.14,5546208,2017-12-26 01:00:00-05:00
57.19,57.65,57.18,57.27,4812173,2017-12-27 01:00:00-05:00
57.47,58.0,57.3,57.81,5044505,2017-12-28 01:00:00-05:00
57.74,57.97,57.42,57.43,5365646,2017-12-29 01:00:00-05:00
57.95,58.21,57.48,57.63,7215978,2018-01-02 01:00:00-05:00
57.93,58.96,57.8,58.71,7478356,2018-01-03 01:00:00-05:00
58.99,59.41,58.73,58.93,5775921,2018-01-04 01:00:00-05:00
59.25,59.69,59.07,59.61,6047686,2018-01-05 01:00:00-05:00
59.48,59.67,58.56,59.31,6335782,2018-01-08 01:00:00-05:00
59.2,59.47,58.86,59.18,5233353,2018-01-09 01:00:00-05:00
59.24,60.13,58.855,59.82,8656454,2018-01-10 01:00:00-05:00
59.76,60.02,59.4541,60.0,5806282,2018-01-11 01:00:00-05:00
60.4,60.51,59.65,60.4,6989075,2018-01-12 01:00:00-05:00
60.33,61.1,60.3,60.56,8040748,2018-01-16 01:00:00-05:00
61.0,61.33,60.52,60.66,8433771,2018-01-17 01:00:00-05:00
61.43,61.44,60.735,61.09,9170903,2018-01-18 01:00:00-05:00
61.21,61.46,60.95,61.26,8361853,2018-01-19 01:00:00-05:00
61.04,61.47,60.77,61.41,11945783,2018-01-22 01:00:00-05:00
61.32,61.91,61.14,61.69,10806783,2018-01-23 01:00:00-05:00
61.51,61.94,60.2326,60.83,11911867,2018-01-24 01:00:00-05:00
61.03,61.2,60.4,60.55,16225618,2018-01-25 01:00:00-05:00
57.94,58.17,56.55,57.99,51851690,2018-01-26 01:00:00-05:00
57.55,58.35,56.91,57.02,18899867,2018-01-29 01:00:00-05:00
56.96,57.54,56.74,57.19,14341155,2018-01-30 01:00:00-05:00
57.23,57.45,56.7,56.81,13118364,2018-01-31 01:00:00-05:00
56.28,56.42,55.89,56.0,14690146,2018-02-01 01:00:00-05:00
55.9,56.32,55.7,55.77,15358909,2018-02-02 01:00:00-05:00
55.53,56.26,54.57,54.69,16059955,2018-02-05 01:00:00-05:00
53.685,56.06,53.56,55.61,17415065,2018-02-06 01:00:00-05:00
55.08,55.43,54.44,54.46,13927022,2018-02-07 01:00:00-05:00
54.5,54.789,53.75,53.77,17736671,2018-02-08 01:00:00-05:00
54.2,55.06,53.65,54.58,19382011,2018-02-09 01:00:00-05:00
54.86,55.73,54.55,55.38,10968956,2018-02-12 01:00:00-05:00
55.25,55.72,55.02,55.67,10416385,2018-02-13 01:00:00-05:00
55.47,56.7,55.29,55.99,14190323,2018-02-14 01:00:00-05:00
56.36,56.83,55.9,56.58,10294949,2018-02-15 01:00:00-05:00
56.65,57.05,56.34,56.48,10151328,2018-02-16 01:00:00-05:00
56.29,56.54,55.83,55.97,9450906,2018-02-20 01:00:00-05:00
55.93,56.74,55.86,56.1,7850950,2018-02-21 01:00:00-05:00
55.95,56.14,55.26,55.4,10172399,2018-02-22 01:00:00-05:00
55.65,56.15,54.8,56.14,11394350,2018-02-23 01:00:00-05:00
56.42,57.35,56.32,57.17,8713847,2018-02-26 01:00:00-05:00
57.29,57.64,56.56,56.57,8821414,2018-02-27 01:00:00-05:00
56.84,57.92,56.83,57.1,11541059,2018-02-28 01:00:00-05:00
57.0,57.56,55.83,56.17,11127627,2018-03-01 01:00:00-05:00
55.72,57.2,55.6805,56.93,11555132,2018-03-02 01:00:00-05:00
56.83,57.42,56.68,56.99,7835398,2018-03-05 01:00:00-05:00
57.25,57.25,56.54,57.03,8046794,2018-03-06 01:00:00-05:00
56.62,57.165,56.62,57.03,7044099,2018-03-07 01:00:00-05:00
57.29,57.8,57.13,57.47,7434706,2018-03-08 01:00:00-05:00
57.67,58.63,57.67,58.46,9539617,2018-03-09 01:00:00-05:00
58.67,59.68,58.48,59.4,10550283,2018-03-12 01:00:00-04:00
59.7,60.7,58.89,59.05,10411354,2018-03-13 01:00:00-04:00
59.28,59.72,58.705,58.83,6488531,2018-03-14 01:00:00-04:00
58.93,60.07,58.82,59.37,7377036,2018-03-15 01:00:00-04:00
59.38,59.65,58.94,59.0,13030896,2018-03-16 01:00:00-04:00
58.7,58.85,57.8,58.3,9350572,2018-03-19 01:00:00-04:00
58.45,58.98,58.45,58.66,5888445,2018-03-20 01:00:00-04:00
58.75,59.55,58.39,58.47,6569109,2018-03-21 01:00:00-04:00
58.03,58.72,57.75,57.77,6846463,2018-03-22 01:00:00-04:00
57.78,58.07,56.31,56.31,9476776,2018-03-23 01:00:00-04:00
56.96,58.0,56.55,57.8,8444852,2018-03-26 01:00:00-04:00
58.1,58.5,57.14,57.46,7562939,2018-03-27 01:00:00-04:00
57.5,58.1,57.22,57.9,9301897,2018-03-28 01:00:00-04:00
57.26,58.14,56.83,57.89,12015218,2018-03-29 01:00:00-04:00
57.52,57.73,55.38,56.24,16778277,2018-04-02 01:00:00-04:00
56.55,58.045,56.445,58.0,10908217,2018-04-03 01:00:00-04:00
57.25,58.97,57.21,58.83,7893065,2018-04-04 01:00:00-04:00
59.0,59.27,58.855,59.14,6305050,2018-04-05 01:00:00-04:00
58.78,59.135,58.09,58.34,8264473,2018-04-06 01:00:00-04:00
58.54,59.37,58.42,58.7,8023776,2018-04-09 01:00:00-04:00
59.11,59.49,58.87,59.41,6671853,2018-04-10 01:00:00-04:00
59.19,59.71,59.0,59.42,5508027,2018-04-11 01:00:00-04:00
59.66,60.12,59.42,59.43,6088247,2018-04-12 01:00:00-04:00
59.0,59.55,58.96,59.24,6689776,2018-04-13 01:00:00-04:00
59.13,59.69,58.84,59.43,6119171,2018-04-16 01:00:00-04:00
59.75,60.0,59.4,59.83,6139581,2018-04-17 01:00:00-04:00
59.73,59.83,59.44,59.5,5914193,2018-04-18 01:00:00-04:00
59.42,59.49,58.73,59.22,6280126,2018-04-19 01:00:00-04:00
59.03,59.18,57.795,58.0,12037567,2018-04-20 01:00:00-04:00
58.01,58.73,57.69,58.16,8444396,2018-04-23 01:00:00-04:00
58.48,58.66,57.65,57.81,7793565,2018-04-24 01:00:00-04:00
58.27,58.27,57.29,57.71,8367357,2018-04-25 01:00:00-04:00
58.11,60.18,57.85,59.38,14516626,2018-04-26 01:00:00-04:00
58.07,58.98,57.5,58.36,11975153,2018-04-27 01:00:00-04:00
58.39,58.51,57.46,57.57,7854596,2018-04-30 01:00:00-04:00
57.67,58.25,57.44,58.13,7257462,2018-05-01 01:00:00-04:00
58.06,58.09,56.53,56.7,7299089,2018-05-02 01:00:00-04:00
56.52,56.57,55.54,56.13,7152390,2018-05-03 01:00:00-04:00
56.54,57.93,56.49,57.68,9279180,2018-05-04 01:00:00-04:00
58.99,59.04,57.2748,57.45,10630594,2018-05-07 01:00:00-04:00
57.45,57.71,57.001,57.67,7234031,2018-05-08 01:00:00-04:00
57.43,57.62,56.79,57.04,7015334,2018-05-09 01:00:00-04:00
57.18,57.7,57.02,57.65,6565825,2018-05-10 01:00:00-04:00
57.72,57.86,57.07,57.27,5843427,2018-05-11 01:00:00-04:00
57.36,57.51,56.99,57.13,5871783,2018-05-14 01:00:00-04:00
57.0,57.1,56.35,56.64,7415770,2018-05-15 01:00:00-04:00
56.83,57.325,56.79,57.15,4843941,2018-05-16 01:00:00-04:00
57.2,57.35,56.98,57.2,6110124,2018-05-17 01:00:00-04:00
57.27,57.39,56.86,57.16,7786028,2018-05-18 01:00:00-04:00
57.4,57.82,57.2605,57.34,5379291,2018-05-21 01:00:00-04:00
57.5,57.62,56.91,56.96,5355604,2018-05-22 01:00:00-04:00
56.8,57.57,56.76,57.49,5339882,2018-05-23 01:00:00-04:00
57.44,57.74,57.115,57.68,5681592,2018-05-24 01:00:00-04:00
57.68,58.38,57.58,57.92,6783776,2018-05-25 01:00:00-04:00
57.7,57.88,57.01,57.23,6475865,2018-05-29 01:00:00-04:00
57.43,57.66,57.15,57.48,5762434,2018-05-30 01:00:00-04:00
57.18,57.4658,56.55,56.67,9433042,2018-05-31 01:00:00-04:00
56.84,57.03,56.6068,56.91,4967653,2018-06-01 01:00:00-04:00
57.1,57.2,56.8,57.07,7484072,2018-06-04 01:00:00-04:00
56.69,56.7,55.28,55.68,18278843,2018-06-05 01:00:00-04:00
55.835,57.18,55.62,57.17,13709779,2018-06-06 01:00:00-04:00
57.29,57.94,57.09,57.14,7919801,2018-06-07 01:00:00-04:00
56.92,57.06,56.52,56.6,8433528,2018-06-08 01:00:00-04:00
56.61,56.74,56.27,56.48,7181724,2018-06-11 01:00:00-04:00
56.6,56.9,56.3,56.48,8249711,2018-06-12 01:00:00-04:00
56.51,56.7,56.18,56.21,8283213,2018-06-13 01:00:00-04:00
56.46,57.07,56.31,57.02,11049707,2018-06-14 01:00:00-04:00
57.04,57.21,56.459,57.11,12408270,2018-06-15 01:00:00-04:00
56.77,57.32,56.105,57.22,9676910,2018-06-18 01:00:00-04:00
56.65,57.5,56.34,57.43,9965474,2018-06-19 01:00:00-04:00
54.83,55.01,51.58,52.22,62091071,2018-06-20 01:00:00-04:00
52.29,52.63,50.36,50.62,30722957,2018-06-21 01:00:00-04:00
51.0,51.72,50.82,51.24,24429564,2018-06-22 01:00:00-04:00
51.16,51.4366,50.21,50.66,15578586,2018-06-25 01:00:00-04:00
50.51,50.63,50.11,50.38,12930561,2018-06-26 01:00:00-04:00
50.52,50.53,49.84,49.84,14576867,2018-06-27 01:00:00-04:00
49.45,49.48,47.37,48.54,33210109,2018-06-28 01:00:00-04:00
48.08,49.26,48.08,48.85,17413010,2018-06-29 01:00:00-04:00
48.64,49.1,48.5468,49.06,9870932,2018-07-02 01:00:00-04:00
49.15,49.3,48.76,48.77,7517541,2018-07-03 01:00:00-04:00
48.92,49.03,48.4,48.61,9630476,2018-07-05 01:00:00-04:00
48.9,49.19,48.58,48.98,10711984,2018-07-06 01:00:00-04:00
49.21,50.05,49.21,49.9,12811694,2018-07-09 01:00:00-04:00
50.08,50.51,49.9645,50.42,9038021,2018-07-10 01:00:00-04:00
50.22,50.475,50.02,50.14,9542401,2018-07-11 01:00:00-04:00
50.36,50.656,50.2,50.25,9339200,2018-07-12 01:00:00-04:00
50.26,51.65,50.26,51.62,21720110,2018-07-13 01:00:00-04:00
51.55,51.55,50.69,50.94,16974920,2018-07-16 01:00:00-04:00
50.66,51.3,50.6,51.28,11421330,2018-07-17 01:00:00-04:00
51.34,51.6185,51.0,51.15,13549524,2018-07-18 01:00:00-04:00
51.11,51.49,51.0,51.34,11415630,2018-07-19 01:00:00-04:00
51.06,51.2425,50.75,50.91,11033405,2018-07-20 01:00:00-04:00
50.76,51.27,50.76,51.19,8406801,2018-07-23 01:00:00-04:00
51.3,51.7198,51.06,51.17,9921586,2018-07-24 01:00:00-04:00
51.01,51.72,51.01,51.62,11370019,2018-07-25 01:00:00-04:00
51.68,51.84,51.34,51.45,11114792,2018-07-26 01:00:00-04:00
51.4999,52.6,50.2101,52.15,15770270,2018-07-27 01:00:00-04:00
52.2,52.845,51.76,51.9,14448359,2018-07-30 01:00:00-04:00
52.03,52.69,51.85,52.39,9228240,2018-07-31 01:00:00-04:00
52.24,52.24,51.25,51.93,11952400,2018-08-01 01:00:00-04:00
52.1,52.35,51.43,51.68,13636439,2018-08-02 01:00:00-04:00
51.7,52.45,51.58,52.23,8246476,2018-08-03 01:00:00-04:00
52.1,52.27,51.8,52.07,6505777,2018-08-06 01:00:00-04:00
52.08,52.205,51.8,52.07,5869803,2018-08-07 01:00:00-04:00
51.83,51.93,51.36,51.55,7258334,2018-08-08 01:00:00-04:00
51.53,52.02,51.32,51.92,7175435,2018-08-09 01:00:00-04:00
51.59,51.63,51.195,51.51,10539692,2018-08-10 01:00:00-04:00
51.62,51.96,51.47,51.81,7911311,2018-08-13 01:00:00-04:00
51.85,52.74,51.79,52.59,9385434,2018-08-14 01:00:00-04:00
52.31,52.94,52.3,52.75,9566235,2018-08-15 01:00:00-04:00
52.98,53.36,52.92,53.04,8721212,2018-08-16 01:00:00-04:00
52.95,53.61,52.95,53.56,8166981,2018-08-17 01:00:00-04:00
53.71,54.16,53.7,53.92,9791538,2018-08-20 01:00:00-04:00
54.17,54.44,53.95,54.0,7990040,2018-08-21 01:00:00-04:00
53.55,53.64,52.66,52.82,10369620,2018-08-22 01:00:00-04:00
52.76,53.19,52.56,52.66,8567574,2018-08-23 01:00:00-04:00
52.82,52.92,52.42,52.75,9850039,2018-08-24 01:00:00-04:00
52.99,53.18,52.81,52.97,6443156,2018-08-27 01:00:00-04:00
53.02,53.47,52.98,53.05,7171873,2018-08-28 01:00:00-04:00
53.07,53.4399,52.72,53.25,6604919,2018-08-29 01:00:00-04:00
53.12,53.41,52.97,53.1,5576425,2018-08-30 01:00:00-04:00
52.46,53.71,52.451,53.45,10892775,2018-08-31 01:00:00-04:00
53.44,53.69,53.2148,53.53,8235166,2018-09-04 01:00:00-04:00
53.47,53.98,53.29,53.79,7966579,2018-09-05 01:00:00-04:00
53.66,54.35,53.65,54.21,7803422,2018-09-06 01:00:00-04:00
54.2,54.96,54.16,54.86,10231692,2018-09-07 01:00:00-04:00
54.94,55.11,54.57,54.97,8621174,2018-09-10 01:00:00-04:00
54.83,55.395,54.765,55.12,7873859,2018-09-11 01:00:00-04:00
55.2,55.2,54.3263,54.97,7297268,2018-09-12 01:00:00-04:00
55.12,55.57,54.74,54.89,8566607,2018-09-13 01:00:00-04:00
55.0,55.0,54.61,54.75,6827670,2018-09-14 01:00:00-04:00
54.7,54.86,54.275,54.57,9277192,2018-09-17 01:00:00-04:00
54.48,55.28,54.1,55.07,7569586,2018-09-18 01:00:00-04:00
55.22,55.79,54.9,55.43,7451644,2018-09-19 01:00:00-04:00
55.6,56.73,55.6,56.43,10582603,2018-09-20 01:00:00-04:00
56.55,57.5661,56.52,57.45,25800450,2018-09-21 01:00:00-04:00
56.94,57.36,56.58,56.69,10616004,2018-09-24 01:00:00-04:00
56.98,57.29,56.83,56.9,9445481,2018-09-25 01:00:00-04:00
56.77,57.84,56.75,57.27,7757332,2018-09-26 01:00:00-04:00
57.1,57.785,57.1,57.34,6606185,2018-09-27 01:00:00-04:00
57.39,57.39,56.78,56.84,8975955,2018-09-28 01:00:00-04:00
56.91,56.95,55.53,55.58,12727584,2018-10-01 01:00:00-04:00
55.55,56.01,55.29,55.59,12680838,2018-10-02 01:00:00-04:00
55.8,56.11,55.46,55.47,7383546,2018-10-03 01:00:00-04:00
55.78,56.08,55.5,55.89,9722043,2018-10-04 01:00:00-04:00
55.95,55.95,55.305,55.76,9734042,2018-10-05 01:00:00-04:00
55.82,56.75,55.45,56.54,9624260,2018-10-08 01:00:00-04:00
56.83,59.7,56.81,57.71,24855677,2018-10-09 01:00:00-04:00
57.67,57.87,55.94,56.01,14190452,2018-10-10 01:00:00-04:00
55.7,56.27,54.705,54.86,15316853,2018-10-11 01:00:00-04:00
55.71,56.78,55.28,56.45,13980461,2018-10-12 01:00:00-04:00
56.37,57.19,56.3105,56.75,10175142,2018-10-15 01:00:00-04:00
56.94,58.01,56.77,57.81,11731398,2018-10-16 01:00:00-04:00
57.9,59.395,57.78,59.1,14631015,2018-10-17 01:00:00-04:00
59.0,59.53,58.15,58.64,12184673,2018-10-18 01:00:00-04:00
58.39,59.07,58.39,58.66,10180500,2018-10-19 01:00:00-04:00
58.93,59.36,58.58,58.9,8680150,2018-10-22 01:00:00-04:00
58.36,59.3,58.21,58.81,12834169,2018-10-23 01:00:00-04:00
58.57,59.28,57.95,58.06,12189685,2018-10-24 01:00:00-04:00
58.29,59.465,57.7,58.96,9569597,2018-10-25 01:00:00-04:00
58.04,58.36,57.39,58.07,13367726,2018-10-26 01:00:00-04:00
58.68,59.68,57.7,58.37,14412820,2018-10-29 01:00:00-04:00
58.43,58.87,57.69,58.59,14230072,2018-10-30 01:00:00-04:00
58.98,59.12,58.21,58.27,11560416,2018-10-31 01:00:00-04:00
58.3,59.07,58.07,58.63,18772357,2018-11-01 01:00:00-04:00
61.99,65.68,61.9,64.32,45571947,2018-11-02 01:00:00-04:00
63.93,65.13,63.82,64.48,23242808,2018-11-05 01:00:00-05:00
64.3,66.08,64.25,66.01,16065429,2018-11-06 01:00:00-05:00
66.29,68.21,66.04,68.16,16465020,2018-11-07 01:00:00-05:00
67.775,68.98,67.63,68.72,14081663,2018-11-08 01:00:00-05:00
68.49,68.96,68.08,68.6,8637203,2018-11-09 01:00:00-05:00
68.44,68.94,67.8,67.91,12789647,2018-11-12 01:00:00-05:00
67.94,68.28,67.1,67.41,16636978,2018-11-13 01:00:00-05:00
67.3,67.95,66.73,67.04,13350450,2018-11-14 01:00:00-05:00
66.71,67.76,66.36,67.62,15246503,2018-11-15 01:00:00-05:00
67.3,68.5306,67.09,68.16,9287882,2018-11-16 01:00:00-05:00
68.1,68.4704,67.2299,67.91,10855387,2018-11-19 01:00:00-05:00
67.39,67.88,66.76,67.18,11208855,2018-11-20 01:00:00-05:00
67.47,67.98,66.75,66.77,10978166,2018-11-21 01:00:00-05:00
66.24,66.24,65.26,65.7,7779765,2018-11-23 01:00:00-05:00
65.98,66.12,65.205,65.69,13066763,2018-11-26 01:00:00-05:00
65.46,66.55,65.31,66.08,13169085,2018-11-27 01:00:00-05:00
66.18,66.99,65.48,66.82,12867734,2018-11-28 01:00:00-05:00
66.68,67.28,66.12,66.88,9605484,2018-11-29 01:00:00-05:00
66.86,67.38,66.65,66.72,27309197,2018-11-30 01:00:00-05:00
67.37,68.055,66.66,67.5,13834742,2018-12-03 01:00:00-05:00
67.47,68.15,66.45,66.65,13555064,2018-12-04 01:00:00-05:00
66.13,66.67,65.59,66.55,17222196,2018-12-06 01:00:00-05:00
66.17,66.64,65.2,65.47,11057454,2018-12-07 01:00:00-05:00
65.47,65.8,64.45,65.49,12148308,2018-12-10 01:00:00-05:00
66.22,66.92,65.52,65.92,10903364,2018-12-11 01:00:00-05:00
66.0,66.93,66.0,66.13,11116217,2018-12-12 01:00:00-05:00
66.29,67.2243,66.13,66.91,10016213,2018-12-13 01:00:00-05:00
64.44,65.84,63.58,65.34,16834020,2018-12-14 01:00:00-05:00
65.0,65.625,64.0799,64.47,15143054,2018-12-17 01:00:00-05:00
64.77,65.4,64.55,64.92,10523476,2018-12-18 01:00:00-05:00
65.16,65.9,63.68,64.06,14390146,2018-12-19 01:00:00-05:00
63.61,63.8,61.4499,62.15,20264918,2018-12-20 01:00:00-05:00
62.31,63.205,61.38,61.39,23524888,2018-12-21 01:00:00-05:00
61.48,61.82,60.42,60.56,6323252,2018-12-24 01:00:00-05:00
60.95,63.23,60.67,63.08,16646238,2018-12-26 01:00:00-05:00
62.62,63.24,61.62,63.2,11308081,2018-12-27 01:00:00-05:00
63.31,64.12,63.1747,63.39,7712127,2018-12-28 01:00:00-05:00
63.77,64.61,63.66,64.4,7690183,2018-12-31 01:00:00-05:00
63.68,64.37,63.209,64.32,10093978,2019-01-02 01:00:00-05:00
63.46,63.72,61.395,61.53,14390100,2019-01-03 01:00:00-05:00
62.4,64.25,62.08,63.57,12694446,2019-01-04 01:00:00-05:00
63.35,64.24,62.74,63.57,10337844,2019-01-07 01:00:00-05:00
63.94,64.29,63.05,63.62,10809743,2019-01-08 01:00:00-05:00
63.65,64.04,62.95,63.88,13080263,2019-01-09 01:00:00-05:00
63.61,64.39,63.24,64.19,10397645,2019-01-10 01:00:00-05:00
62.29,63.84,61.6701,63.73,13805688,2019-01-11 01:00:00-05:00
63.35,64.055,62.98,63.37,9929560,2019-01-14 01:00:00-05:00
63.58,64.625,63.45,64.08,7930398,2019-01-15 01:00:00-05:00
64.2,64.82,63.75,63.77,8091296,2019-01-16 01:00:00-05:00
63.68,64.39,63.6,64.28,6767335,2019-01-17 01:00:00-05:00
64.81,64.81,63.86,64.7,9835199,2019-01-18 01:00:00-05:00
64.9,66.21,64.75,65.39,16414325,2019-01-22 01:00:00-05:00
65.88,66.6965,65.81,66.43,12372408,2019-01-23 01:00:00-05:00
66.61,66.76,62.93,64.74,29719619,2019-01-24 01:00:00-05:00
67.03,67.69,66.1,67.09,21888062,2019-01-25 01:00:00-05:00
66.19,66.955,65.91,66.9,11537730,2019-01-28 01:00:00-05:00
67.0,67.5,66.2,67.04,10703449,2019-01-29 01:00:00-05:00
67.11,68.21,67.05,68.15,11702523,2019-01-30 01:00:00-05:00
68.18,69.49,67.08,68.14,24233336,2019-01-31 01:00:00-05:00
68.59,69.315,68.0,68.11,10309205,2019-02-01 01:00:00-05:00
68.03,68.11,67.08,67.58,13562350,2019-02-04 01:00:00-05:00
67.76,69.41,67.64,69.34,12781643,2019-02-05 01:00:00-05:00
69.23,69.3874,68.5,68.85,10283746,2019-02-06 01:00:00-05:00
68.6,69.21,68.48,69.14,10109209,2019-02-07 01:00:00-05:00
68.77,69.82,68.6,69.75,8862140,2019-02-08 01:00:00-05:00
70.0,70.465,69.847,69.99,9230088,2019-02-11 01:00:00-05:00
70.24,70.46,69.71,69.75,8848874,2019-02-12 01:00:00-05:00
69.81,70.6,69.8,70.51,10264422,2019-02-13 01:00:00-05:00
70.13,71.54,69.97,70.84,9441104,2019-02-14 01:00:00-05:00
71.15,71.37,70.1935,70.71,13924591,2019-02-15 01:00:00-05:00
70.46,70.6,69.78,70.2,9208382,2019-02-19 01:00:00-05:00
70.23,70.6,70.05,70.39,9671811,2019-02-20 01:00:00-05:00
70.14,70.93,70.14,70.7,10933548,2019-02-21 01:00:00-05:00
70.76,71.39,70.75,71.3,11311725,2019-02-22 01:00:00-05:00
71.9,72.07,70.98,71.05,12071170,2019-02-25 01:00:00-05:00
71.0,71.45,70.92,71.14,12302254,2019-02-26 01:00:00-05:00
70.83,71.13,69.92,70.15,13274806,2019-02-27 01:00:00-05:00
70.14,70.49,69.78,70.26,18956744,2019-02-28 01:00:00-05:00
70.63,71.11,70.4515,70.85,8067715,2019-03-01 01:00:00-05:00
70.99,71.35,70.37,70.95,9219708,2019-03-04 01:00:00-05:00
71.19,71.89,71.06,71.58,10496075,2019-03-05 01:00:00-05:00
71.81,72.18,71.16,71.27,7666095,2019-03-06 01:00:00-05:00
71.2,71.36,70.46,70.61,7814691,2019-03-07 01:00:00-05:00
70.15,70.27,69.03,69.36,12363892,2019-03-08 01:00:00-05:00
69.38,70.005,69.14,69.68,11518329,2019-03-11 01:00:00-04:00
69.74,70.58,69.69,70.05,12751689,2019-03-12 01:00:00-04:00
70.09,70.9,69.98,70.1,13798644,2019-03-13 01:00:00-04:00
70.19,70.885,70.19,70.74,9249246,2019-03-14 01:00:00-04:00
70.8,71.21,70.54,70.67,13096889,2019-03-15 01:00:00-04:00
70.78,71.12,70.4438,70.84,5682429,2019-03-18 01:00:00-04:00
70.95,71.7,70.87,71.38,7810698,2019-03-19 01:00:00-04:00
71.8,72.4,71.34,71.63,9512399,2019-03-20 01:00:00-04:00
71.32,72.435,71.32,72.26,8044430,2019-03-21 01:00:00-04:00
72.05,72.41,71.69,71.96,6889114,2019-03-22 01:00:00-04:00
72.0,72.4755,71.73,72.3,6453840,2019-03-25 01:00:00-04:00
72.72,73.19,72.33,72.96,7624044,2019-03-26 01:00:00-04:00
72.94,73.26,72.62,72.74,7662712,2019-03-27 01:00:00-04:00
72.97,73.98,72.89,73.96,6709554,2019-03-28 01:00:00-04:00
74.01,74.4801,73.53,74.34,9099492,2019-03-29 01:00:00-04:00
74.76,74.93,73.73,73.96,8108429,2019-04-01 01:00:00-04:00
74.01,74.45,73.84,74.27,5520938,2019-04-02 01:00:00-04:00
74.56,74.78,73.87,74.33,6755601,2019-04-03 01:00:00-04:00
74.5,74.67,73.98,74.35,5449896,2019-04-04 01:00:00-04:00
74.35,75.08,74.35,75.03,5346334,2019-04-05 01:00:00-04:00
74.47,75.3,74.47,75.2,5140455,2019-04-08 01:00:00-04:00
74.87,75.23,74.8,75.12,4905834,2019-04-09 01:00:00-04:00
75.21,75.815,75.21,75.48,6066274,2019-04-10 01:00:00-04:00
75.75,76.07,75.65,75.87,6042641,2019-04-11 01:00:00-04:00
76.1,76.95,76.07,76.65,5194754,2019-04-12 01:00:00-04:00
76.67,76.7,76.08,76.16,7632303,2019-04-15 01:00:00-04:00
76.48,76.56,75.365,75.7,8336948,2019-04-16 01:00:00-04:00
75.61,75.96,74.8,75.12,9439007,2019-04-17 01:00:00-04:00
75.48,76.26,75.21,76.06,6607755,2019-04-18 01:00:00-04:00
75.71,76.06,75.21,75.4,4883100,2019-04-22 01:00:00-04:00
75.48,76.06,75.41,75.99,5274059,2019-04-23 01:00:00-04:00
76.05,76.88,75.91,76.39,9347260,2019-04-24 01:00:00-04:00
76.11,77.23,75.95,77.11,11084455,2019-04-25 01:00:00-04:00
76.95,77.52,75.06,77.45,12550458,2019-04-26 01:00:00-04:00
77.3,77.67,76.59,76.91,5426762,2019-04-29 01:00:00-04:00
77.0,77.79,76.69,77.68,7384433,2019-04-30 01:00:00-04:00
77.67,78.15,77.37,77.52,6678194,2019-05-01 01:00:00-04:00
77.66,77.76,76.75,77.47,6247550,2019-05-02 01:00:00-04:00
77.59,78.4,77.34,78.05,4967928,2019-05-03 01:00:00-04:00
77.2,78.08,77.02,78.06,5607843,2019-05-06 01:00:00-04:00
77.57,78.74,77.42,77.96,8115808,2019-05-07 01:00:00-04:00
77.58,78.64,77.12,78.05,7799892,2019-05-08 01:00:00-04:00
77.58,78.23,77.345,77.9,7326756,2019-05-09 01:00:00-04:00
77.63,78.8,77.16,78.42,6448552,2019-05-10 01:00:00-04:00
77.25,77.78,76.08,76.68,9778829,2019-05-13 01:00:00-04:00
76.75,77.74,76.68,77.06,6871125,2019-05-14 01:00:00-04:00
76.69,77.94,76.525,77.76,5415741,2019-05-15 01:00:00-04:00
77.66,79.24,77.57,78.9,6941762,2019-05-16 01:00:00-04:00
78.52,79.6501,78.37,78.91,7380077,2019-05-17 01:00:00-04:00
78.3,78.42,76.57,76.66,11474974,2019-05-20 01:00:00-04:00
77.05,77.85,76.75,77.53,5808516,2019-05-21 01:00:00-04:00
77.2,77.715,76.91,77.25,5602516,2019-05-22 01:00:00-04:00
76.88,76.94,75.69,76.41,9213376,2019-05-23 01:00:00-04:00
76.83,77.06,75.97,76.15,5627633,2019-05-24 01:00:00-04:00
76.36,76.68,75.32,75.7,16205155,2019-05-28 01:00:00-04:00
75.33,75.49,74.33,75.28,10511592,2019-05-29 01:00:00-04:00
75.65,76.43,75.63,76.17,7178431,2019-05-30 01:00:00-04:00
75.6,76.32,75.38,76.06,7625694,2019-05-31 01:00:00-04:00
76.12,76.53,75.65,76.22,8122316,2019-06-03 01:00:00-04:00
76.77,78.755,76.66,78.52,11685007,2019-06-04 01:00:00-04:00
